Job Title,Company,Industry/Domain,Location,Required Skills,Years of Experience Required,Job Description,Company Details,URL
Oracle Enterprise Data Scientist,Community Health Systems (CHS),Healthcare / Hospital Systems (Enterprise Data & Analytics),Fully remote (U.S.); not eligible for immigration sponsorship - must be authorized to work in the U.S. for any employer,"Expert-level SQL for complex querying (including Oracle tables/views); Python or R with statistical modeling, time series analysis, and ML libraries; Oracle Fusion domain expertise in at least two of Oracle SCM & Inventory, Oracle Procurement, Oracle RCM (item masters, warehouse transactions, purchase orders, contract management, charge capture, billing linkage); data validation frameworks and data integrity; predictive modeling (demand forecasting, revenue-cycle/cash-flow forecasting, denial prediction); ML for logistics and procurement optimization; advanced visualization (Tableau, Power BI); large-scale Enterprise Data Warehouses (EDW) in regulated environments; healthcare KPI development. Preferred: clinical coding standards (CPT, ICD-10); HIPAA/HITECH and healthcare data governance; surgical/procedural analytics; Oracle applications or cloud certification.","2+ years in a specialized data science, BI, or analytics role within a large healthcare system, hospital, or payer environment (Master's degree required)","Community Health Systems is seeking a highly specialized Oracle Enterprise Data Scientist to drive data quality, standardization, and insight generation across its core Oracle operational suite. The role is the authoritative expert on translating complex, high-volume data from Oracle Supply Chain Management (SCM), Procurement, Revenue Cycle Management (RCM), and Inventory into actionable business intelligence, ensuring absolute data integrity in a regulated healthcare environment and transforming raw transactional data into operational reports, interactive dashboards, and predictive models that optimize cost-per-case, inventory accuracy, and the revenue cycle.

Essential functions:
- Data validation, integrity, and compliance: design automated data validation frameworks for healthcare operations; develop monitoring to detect anomalies affecting regulatory reporting, financial audits (SOX), and GPO/payer compliance; validate the link between inventory consumption (SCM) and patient billing (RCM) to prevent charge-capture errors and revenue leakage; perform root-cause analysis on Oracle Fusion configuration errors.
- Standardized operational analytics: define and institutionalize KPIs (inventory accuracy, procurement compliance/off-contract spend, days of supply, cost-per-case variance, claims denial rate); build standardized reports and dashboards (Tableau, Power BI) for OR, clinics, and purchasing; create executive insight reports.
- Advanced modeling and process optimization: predictive inventory modeling for demand volatility; revenue-cycle modeling for cash flow and denial forecasting; ML-based logistics and procurement optimization.
- Collaboration: serve as technical data expert for Oracle functional teams (Finance, Clinical Operations, Materials Management); document data lineage, metric definitions, and model methodologies.

Required qualifications: Master's in Data Science, Health Informatics, Statistics, Industrial Engineering, or related quantitative field; 2+ years in a specialized data science/BI/analytics role in a healthcare system, hospital, or payer; practical experience with at least two Oracle Fusion applications; expert SQL; Python or R; advanced visualization; EDW experience in a regulated environment.

Benefits: competitive compensation, PTO, comprehensive health insurance (medical, dental, vision, prescription), 401(k), education support and student loan assistance, life and disability insurance, and FSA.","Community Health Systems (CHS) is one of the nation's leading healthcare providers, operating healthcare delivery systems across 36 markets in 14 states. CHS runs 69 affiliated hospitals (10,000+ beds) and roughly 1,000 other sites of care, including physician practices, urgent care, freestanding EDs, imaging centers, cancer centers, and ambulatory surgery centers.",https://www.linkedin.com/jobs/view/oracle-enterprise-data-scientist-remote-at-community-health-systems-4395391266/
"Solution Architect - AI & Data, Expert Services",ServiceNow,Enterprise Software / Cloud Platform (AI Advisory & Solution Architecture),Not stated in posting (ServiceNow uses flexible/remote/required-in-office 'work personas' based on role and location),"Enterprise AI strategy and transformation advisory; solution architecture across Now Assist, AI Agents, agentic workflows, AI Control Tower, RAG, knowledge graphs, and enterprise integrations (A2A, MCP); enterprise data architecture, data catalog and metadata management strategy; data lineage, classification taxonomies, and access governance; knowledge graph principles, semantic technologies, and standards (RDF, SPARQL); AI governance, risk, and Responsible AI frameworks (data stewardship, model risk, bias controls, audit trails, compliance); C-suite advisory and executive facilitation; adoption, enablement, and change management; integration patterns across cloud platforms, data warehouses, BI layers, and ServiceNow workflows; ServiceNow platform/modules (ITSM, CSM, FSM, HRSD, App Engine). Desirable: ServiceNow certifications (CSA, CIS, CTA); AI/ML certifications (AWS ML Specialty, Google Professional ML Engineer); industry background in Financial Services, Healthcare, Public Sector, Manufacturing, or Retail.","10+ years in management consulting, enterprise architecture, or a senior technology advisory role, focused on AI/ML or digital transformation at enterprise scale","ServiceNow's Expert Services AI Practice is hiring a Solution Architect - AI & Data to serve as a senior strategic and technical lead, reshaping how enterprise organizations adopt AI at the core of their operating models. The role goes beyond implementation, bridging C-suite advisory, enterprise architecture, and organizational change - operating at the intersection of AI strategy, solution architecture, and customer success, and leading engagements from transformation vision and use-case definition through architecture design, governance, adoption, and ongoing value realization.

What you'll do:
- AI strategy & transformation advisory: lead enterprise AI transformation engagements from opportunity identification and business-case development through operating-model design and value realization; advise C-suite on AI strategy, prioritization frameworks, and roadmaps; facilitate discovery workshops and future-state visioning; define AI-enabled target operating models (process redesign, workforce impact, governance).
- Solution architecture & delivery leadership: design end-to-end architectures spanning Now Assist, AI Agents, agentic workflows, AI Control Tower, RAG, knowledge graphs, and integrations (A2A, MCP); lead scoping for complex multi-workload engagements; provide hands-on architecture leadership during pilots; develop reusable IP (reference architectures, playbooks, use-case catalogs).
- Data architecture & catalog strategy: lead architectural design of enterprise data catalog programs (scope, platform selection, governance operating models, phased roadmaps); advise on knowledge graphs, semantic technologies, and ontologies (RDF, SPARQL); shape data architecture principles for AI readiness.
- AI governance, risk & responsible AI: define and embed governance frameworks (data stewardship, model risk, bias controls, audit trails, compliance); operationalize responsible AI; partner with AI Control Tower for monitoring and observability.
- Adoption, enablement & change management: lead adoption strategies, readiness assessments, AI literacy programs; define adoption KPIs and value-realization metrics; coach customer teams to build internal AI capability.
- Practice development & thought leadership: collaborate across Sales, Solution Consulting, Customer Success, Platform, and Product; build industry AI advisory playbooks; contribute white papers and reference architectures; support pre-sales.

Qualifications: 10+ years in management consulting, enterprise architecture, or senior technology advisory with an AI/ML or digital-transformation focus; experience facilitating executive AI strategy engagements; proven track record on complex multi-stakeholder AI/digital-transformation engagements; strong enterprise data architecture, data quality, and compliance knowledge; data catalog/metadata strategy experience; excellent executive communication; knowledge graph and semantic technology familiarity; ServiceNow platform familiarity (certifications desirable).","ServiceNow is a global market leader in AI-enhanced, cloud-based enterprise software, serving over 8,100 customers including 85% of the Fortune 500. Its intelligent platform connects people, systems, and processes; the Customer Excellence Group and Expert Services AI Practice help customers realize value and adopt AI at enterprise scale.",https://careers.servicenow.com/jobs/744000136063259/solution-architect-ai-data/
Principal AI & Machine Learning Engineer,Hewlett Packard Enterprise (HPE),Technology / Edge-to-Cloud (AI/ML Engineering),"Spring, TX - Onsite (daily onsite work required; primarily work from an HPE office)","Python (mandatory familiarity with FastAPI, Flask, or similar); Kubernetes (container orchestration, Helm charts, pod management, scaling, troubleshooting); MLOps/AIOps tools (MLflow, Kubeflow, Airflow, model registries, monitoring frameworks); cloud platforms (Azure, AWS, or GCP) and their AI services; CI/CD (GitOps, Docker, Jenkins, GitHub Actions); Agentic and GenAI frameworks and vector databases; microservices and API development; observability/monitoring (Prometheus, Grafana, OpenTelemetry) for AI workloads; AI security, responsible AI principles, and governance; team leadership and mentoring.",10+ years hands-on in software engineering with a strong focus on AI/ML application development and deployment,"HPE is looking for an experienced Principal AI Engineer to drive the design, development, and deployment of AI/ML-powered applications. The role requires strong hands-on application development, leading and mentoring a team of AI developers, defining best practices, and delivering scalable, production-grade AI solutions aligned with business goals. This is an onsite role based in Spring, Texas, with daily onsite work required.

Key responsibilities:
- Design, develop, and deploy AI applications, microservices, and APIs on Kubernetes-based infrastructure, ensuring scalability, reliability, and performance across development, staging, and production environments.
- Build and maintain end-to-end AI pipelines covering deployment, monitoring, versioning, and continuous improvement using modern MLOps/AIOps tools and practices.
- Lead and mentor a team of AI/ML engineers, conduct code reviews, and define best practices.
- Continuously evaluate and adopt emerging AI tools, frameworks, LLM technologies, and open-source solutions to enhance platform capabilities and team productivity.
- Collaborate closely with Business Analysts, Architects, and technical teams to align AI engineering efforts with business objectives and ensure secure, compliant solutions.
- Establish and maintain technical documentation, deployment runbooks, and SOPs.

Required qualifications: 10+ years hands-on software engineering with a strong AI/ML application focus; Kubernetes expertise; strong MLOps/AIOps experience; hands-on cloud (Azure, AWS, or GCP) including AI services; strong Python with FastAPI/Flask; CI/CD experience (GitOps, Docker, Jenkins, GitHub Actions); team leadership and mentoring; experience with agentic and GenAI frameworks and vector databases; observability tooling; and understanding of AI security, responsible AI, and governance. Education: Bachelor's or Master's in Computer Science, Engineering, AI/ML, or related field.

Pay: USD \$152,000 - \$349,000 annual base in Texas, plus possible variable incentives.","Hewlett Packard Enterprise (HPE) is the global edge-to-cloud company that helps organizations connect, protect, analyze, and act on their data and applications from edge to cloud. HPE emphasizes innovation, professional development, and an inclusive culture as it accelerates enterprise AI and data capabilities.",https://careers.hpe.com/us/en/job/1206761/Principal-AI-Machine-Learning-Engineer-Spring-Texas-Onsite
Senior Machine Learning Engineer - Agentic AI,MD Anderson Cancer Center (University of Texas),Healthcare / Academic Medical Center (Data Impact & Governance - Agentic AI Platform),"Houston, TX - Remote (within Texas only); relocation assistance available. Requisition ID 178303","Python and modern ML frameworks (PyTorch) integrated with LLMs and agent systems; agentic AI frameworks (LangGraph, LangChain, AutoGen, CrewAI, Semantic Kernel, or equivalent); agentic protocols and interoperability standards (MCP, agent-to-agent communication, structured tool invocation); planner-executor loops, hierarchical agents, and multi-agent coordination; workflow orchestration (Airflow, Prefect, Temporal) and distributed execution (Ray or equivalent); containerized AI platforms with Kubernetes in enterprise cloud (lineage, auditability, controlled promotion); validation/de-risking frameworks (simulation, sandboxing, shadow execution, canary releases, behavior monitoring); platform safeguards (fallback, rollback, approval gates, rate limiting, audit trails, kill-switch); quantitative evaluation of agentic systems (success rates, latency, cost, recovery, safety); enterprise data governance, security, and privacy (healthcare/health IT); systems-level reasoning; strong documentation and communication.","Bachelor's: 5 years; Master's: 3 years; PhD: 1 year (ML engineering, data science, data engineering, and/or software engineering). Ideal candidate: healthcare background with 5+ years in data science and 3+ years as a Senior ML Engineer focused on agentic AI systems.","MD Anderson Cancer Center is hiring a Senior Machine Learning Engineer - Agentic AI within Data Impact & Governance to design and operate the platform capabilities that enable autonomous and semi-autonomous AI systems to function reliably across clinical, research, and operational domains. This is an opportunity to build enterprise-wide agentic AI platforms in a regulated healthcare environment where correctness, safety, governance, and auditability matter as much as innovation and scale, influencing technical standards, platform architecture, and operational safeguards at one of the world's leading cancer centers.

Major work activities:
- Lead the design, evolution, and operation of the enterprise agentic AI platform with enterprise architects and platform ML engineers.
- Build platform components enabling interoperability between first-party and third-party agents, including identity, state, memory, tool access, orchestration, auditability, and policy enforcement.
- Define and document standardized integration patterns connecting agents with enterprise business systems, data platforms, APIs, and health IT systems.
- Provide reusable platform services, reference implementations, and SDKs that reduce risk and accelerate delivery for applied teams.
- Design and operate validation and de-risking frameworks (simulation, sandboxing, shadow execution, canary releases, continuous behavior monitoring).
- Establish and enforce platform standards for agent development (interfaces, execution contracts, evaluation hooks, safety constraints, observability).
- Participate in platform governance, release coordination, and incident response; implement safeguards such as fallback mechanisms, rollback strategies, approval gates, rate limiting, audit trails, and kill-switch capabilities.
- Partner with software engineering, security, IT, and health IT stakeholders to deploy agentic AI in secure enterprise environments, and support responsible AI practices through traceability and documentation of failure modes.

Education required: Bachelor's in Computer Science, Software Engineering, Data Science, Physics, Math & Statistics, or related engineering discipline (Master's or PhD preferred).

Pay: USD \$146,500 minimum / \$183,000 midpoint / \$219,500 maximum. Full-time, exempt. Benefits: medical, dental, generous PTO, retirement, and tuition benefits. Referral and relocation assistance available. Note: pivotal position subject to security/integrity screening under Texas Business & Commerce Code.","The University of Texas MD Anderson Cancer Center is one of the world's leading cancer centers, a mission-driven academic medical institution where responsible AI, safety, and trust are central to technology strategy. Its Data Impact & Governance function builds enterprise-scale AI platforms supporting clinical, research, and operational domains.",https://jobs.mdanderson.org/search/jobdetails/senior-machine-learning-engineer---agentic-ai/dd5d50ce-3f6e-439f-91c9-dc21d8df501d?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic&ejd=Default
AI Data Scientist (Generative AI),"HP, Inc.",Technology / Enterprise AI & Machine Learning (AI Center of Excellence),"Spring, TX - Flex workstyle. Job ID 3151305","Data science and core machine learning fundamentals; large language models and multi-modal models; prompt engineering; vector databases; Retrieval-Augmented Generation (RAG) and search engines; Python; SQL; Azure Machine Learning; Azure Prompt Flow; LangChain; Streamlit; Docker; cloud-based business application development; data visualization; monitoring metrics for model performance; stakeholder communication and ability to explain technical concepts (e.g., LLMs) to non-technical audiences; leading/mentoring data science teams. Preferred: programming language certification (SQL, Python, or similar).","PhD related to AI, or a Master's in computer science or related field plus 5+ years with GenAI and related technologies (machine learning, data analytics, statistical modeling)","HP's Enterprise AI & Machine Learning organization - a centralized team of data scientists and ML engineers that also serves as HP's AI Center of Excellence - is hiring an AI Data Scientist focused on Generative AI. You'll build GenAI-based tools and digital products that boost productivity for 50,000+ employees and improve hundreds of critical business processes, working across multiple HP projects involving large language and multi-modal models for cloud or edge deployment. The primary focus is delivering real business value to internal customers (note: this is not a research role).

Responsibilities:
- Deliver Generative AI-based models of high complexity to surface insights, drive action, define success measures, and track model performance.
- Develop monitoring metrics reflecting real-world model performance and make recommendations to shape the future direction of models and digital solutions.
- Strategize models to uncover patterns and predictions creating business value and innovation.
- Manage relationships with business partners to evaluate and foster data-driven innovation; provide domain expertise on cross-organization initiatives.
- Tie insights into effective visualizations communicating business value and innovation potential.
- Work with development teams and business units to ensure models are scalable and implementable as part of the delivered solution.
- Lead project teams of data science professionals, communicating insights and reviewing designs, models, and data compliance; represent the data science team across all phases of larger, complex projects.
- Provide guidance, training, and mentoring to less experienced staff.

Education & experience recommended: PhD related to AI, or a Master's in computer science or related field with 5+ years of GenAI/ML/data analytics/statistical modeling experience.

Knowledge & skills: strong data science and ML foundation; experience with LLMs, multi-modal models, prompt engineering, vector databases, RAG, and search engines; solid technical background (cloud-based application development a strong plus); familiarity with Azure ML, Azure Prompt Flow, Python, LangChain, Streamlit, and Docker; comfort representing the team with stakeholders; mastery of English required; a pragmatic mindset (suggest the simplest solution, even if no AI is required).

Pay: base \$130,700 - \$205,200 annually, plus bonus and/or equity (US candidates only). Full-time, Flex workstyle. Benefits: health, dental, vision, short/long-term disability, EAP, FSA, life insurance, 4-12 weeks fully paid parental leave, 11 paid holidays, and flexible paid vacation and sick leave.","HP, Inc. is a global technology company operating in over 170 countries, creating tools, technology, and solutions across personal computing, printing, and enterprise AI. Its Enterprise AI & Machine Learning organization acts as HP's internal AI Center of Excellence, delivering GenAI products and consulting to teams across the company.",https://apply.hp.com/careers/job/30701848?hl=en&domain=hp.com&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
AI Machine Learning Operations Engineer,Occidental Petroleum (Oxy),Energy / Oil & Gas (AI Center of Excellence),"Houston, TX - Full time. Job Requisition JR108483. No visa sponsorship offered for this role","Python or R (strong programming skills required); Linux environment; end-to-end production ML systems (data, training, deployment, monitoring); data engineering fundamentals (pipeline reliability, data quality, versioning); cloud architecture (AWS/Databricks/IaC); Docker (containerization) and Kubernetes (orchestration); Terraform and Ansible (infrastructure automation); YAML (deployment automation); ML orchestration methods and tools; hyperparameter optimization; model training/deployment/operational best practices; databases (relational, NoSQL); Microsoft products (Excel, Project, PowerPoint, Word, Power BI); understanding of emerging agentic and LLM-assisted development patterns; cross-team collaboration and influence. Desired: AWS certification (ideally AWS Machine Learning Specialty).",3+ years of experience with deep knowledge in orchestration methods/tools and machine learning methods and algorithms (Bachelor's required; Master's highly preferred),"Occidental (Oxy) is looking for an experienced, innovative individual contributor to fill the role of AI Machine Learning Operations Engineer within its AI Center of Excellence in Houston, TX. The incumbent will research, build, and design artificial intelligence systems to automate predictive models and design machine learning systems, models, and schemes.

Essential job responsibilities:
- Design production-grade ML systems end-to-end (data to training to deployment to monitoring).
- Own production systems, including debugging, incident response, reliability, SLAs, and cost awareness.
- Apply strong data engineering fundamentals (pipeline reliability, data quality, versioning).
- Build reusable platform patterns that reduce duplication and enable teams to ship faster and more safely.
- Navigate cloud architecture complexity (AWS/Databricks/IaC) with a bias toward simplicity and maintainability.
- Work effectively across data science, engineering, and platform teams; lead training and influence adoption.
- Apply an understanding of emerging agentic and LLM-assisted development patterns.

Qualifications: Bachelor's in computer science, mathematics, physics, engineering, or related field (Master's highly preferred); 3+ years with deep knowledge of orchestration methods/tools and ML methods/algorithms; strong Python or R; Linux; strong Microsoft product knowledge (Excel, Project, PowerPoint, Word, Power BI); experience developing, architecting, and running ML or deep learning workloads in the cloud; ability to express the intuition behind basic ML algorithms; hyperparameter optimization; model training/deployment best practices; Docker and Kubernetes; Terraform and Ansible; YAML; and understanding of data engineering principles and databases (relational, NoSQL). Note: Oxy does not offer employment-based nonimmigrant visa sponsorship for this role.","Occidental (Oxy) produces, markets, and transports oil and natural gas, and leverages its global leadership in carbon management to advance lower-carbon technologies and products. Headquartered in Houston, Oxy primarily operates in the United States, Middle East, and North Africa, with an internal AI Center of Excellence driving machine learning initiatives.",https://oxy.wd5.myworkdayjobs.com/en-US/Corporate/job/AI-ML-Operations-Engineer_JR108483
AI Optimization Engineer,Occidental Petroleum (Oxy),Energy / Oil & Gas (Applied AI Center of Excellence),"Houston, TX - Full time. Job Requisition JR101993. No visa sponsorship offered for this role","Continuous and combinatorial optimization (dynamic, parametric, non-parametric methods); control theory and advanced control techniques (Model Predictive Control / MPC, adaptive control); system identification and state estimation (Kalman filtering, Moving Horizon Estimation / MHE); dynamic and/or static system modeling; machine learning concepts applied to modeling, optimization, or control; Python; Git version control; data input/output pipelines and APIs; strong oral and written communication. Additional: oil and gas industry knowledge; AWS or similar cloud platforms; Docker and Kubernetes.","Not explicitly stated (Master's degree in Engineering, Applied Mathematics, or related field required; experience in system modeling and advanced control expected)","Occidental (Oxy) is looking for an experienced, innovative leader to fill the role of AI Optimization Engineer within its Applied AI Center of Excellence in Houston, TX. The role applies advanced continuous and combinatorial optimization, control, AI, machine learning, and algorithmic techniques to build, maintain, and improve decision systems and processes.

Essential job responsibilities:
- Apply advanced continuous and combinatorial optimization, control, AI, ML, and algorithmic techniques to build, maintain, and improve decision systems/processes.
- Collaborate with subject matter experts to select relevant sources of information and formulate the right questions and problems.
- Identify available and relevant data, leveraging and creating data input/output pipelines and APIs.
- Provide feasible, real-life practical solutions and demonstrate scientific qualities: clarity, accuracy, precision, relevance, depth, breadth, logic, significance, and fairness.
- Present and depict the rationale of findings in easy-to-understand terms for the business, including results that contradict common belief when needed.

Qualifications: Master's degree in Engineering, Applied Mathematics, or related field; strong knowledge of optimization methods (dynamic, parametric, non-parametric); experience in dynamic and/or static system modeling; experience designing and implementing advanced control techniques such as MPC and adaptive control; knowledge of system identification and state estimation methods (Kalman filtering, MHE); machine learning concepts applied to modeling, optimization, or control; proficiency in Python; experience with Git; excellent communication; strong teamwork and time management; ability to work with minimal supervision.

Additional qualifications: oil and gas industry knowledge; familiarity with AWS or similar cloud platforms; familiarity with Docker and Kubernetes. Note: Oxy does not offer employment-based nonimmigrant visa sponsorship for this role.","Occidental (Oxy) produces, markets, and transports oil and natural gas, and leverages its global leadership in carbon management to advance lower-carbon technologies and products. Headquartered in Houston, Oxy primarily operates in the United States, Middle East, and North Africa, with an Applied AI Center of Excellence driving optimization and control initiatives.",https://oxy.wd5.myworkdayjobs.com/en-US/Corporate/job/AI-Optimization-Engineer_JR101993
Domain AI Integration Engineer,SLB (Schlumberger),Energy / Oilfield Services & Technology (Domain AI - Geoscience & Petroleum),"Not stated in posting (U.S. role; SLB is headquartered in Houston, TX). E-Verify employer","AI/ML model integration, deployment, and evaluation; building and deploying production agentic AI systems (multi-agent, tool-use, reasoning pipelines); cloud-based AI infrastructure and model operations (Model Ops); scalable service integration; foundation models and large language models; domain-specific / domain foundation models; compound AI systems; agent evaluation and benchmarking frameworks; geoscience, subsurface, or energy workflow familiarity; reusable integration patterns, APIs, and components; cross-functional collaboration; strong communication, technical training, and documentation. Preferred: domain AI applications (seismic interpretation, reservoir simulation); subsurface software platforms; benchmarking pipelines and automated testing for AI models; agent-based AI architectures and domain agent design.","Not explicitly stated (advanced degree - MS or PhD - required, plus experience building and deploying agentic AI systems in production)","SLB is hiring a Domain AI Integration Engineer to integrate advanced AI and Generative AI capabilities into its domain software systems (e.g., Delfi, Lumi), with a focus on designing and shipping production-grade agentic solutions. The role requires specialized AI/ML expertise, domain knowledge (geoscience, petroleum engineering), domain foundation models, and enterprise-scale software integration, translating domain problems into effective agentic solutions in collaboration with product teams, domain experts, and the AI Foundation Team.

Key responsibilities:
- GenAI integration: integrate AI Foundation services (FM Hub, Model Ops, AI Workspace, Agent Workspace, GenAI Infrastructure) into SLB digital products such as Delfi and Lumi; develop reusable integration patterns, APIs, and components for scalable, production-ready GenAI; deliver hands-on enablement (demos, reference implementations, workshops).
- Domain foundation model integration, deployment & benchmarking: integrate and deploy domain-specific foundation models into domain workflows and product pipelines; collaborate with domain teams to define benchmark datasets, evaluation metrics, and acceptance criteria; establish continuous evaluation frameworks; optimize deployment workflows for inference efficiency and production readiness.
- Domain agentic solution development: design and build end-to-end agentic solutions (multi-agent systems, reasoning pipelines, tool-use orchestration) addressing real geoscience and energy challenges; translate domain expertise into agent architectures combining foundation models, domain data, and simulation tools into compound AI systems; develop agent evaluation frameworks and serve as an internal reference for advanced agentic patterns.

Required qualifications: advanced degree (MS or PhD) in Geophysics, Geoscience, Petroleum Engineering, Computer Science, Electrical Engineering, Applied Math, or equivalent; experience with AI/ML model integration, deployment, and evaluation; proven experience building and deploying agentic AI systems in production; experience with cloud-based AI infrastructure, Model Ops, and scalable service integration; familiarity with geoscience/subsurface/energy workflows; cross-functional collaboration; strong communication and training skills.",SLB (formerly Schlumberger) is a leading global technology and oilfield services company driving digital transformation and AI adoption across the energy industry. Its domain software platforms (such as Delfi and Lumi) and AI Foundation Team build domain-specific foundation models and agentic AI solutions for geoscience and petroleum engineering workflows.,https://apply.slb.com/careers/job/563499732856074?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Director of AI,"HP, Inc.",Technology / Enterprise AI & Machine Learning (Leadership),Not stated in posting (U.S. role; pay varies by work location),"AI/ML strategy and leadership; end-to-end AI model development (scoping through deployment); GenAI and modeling/analytics; building and staffing high-impact AI project portfolios; digital product design and process transformation (a plus); performance management and accountability; strategic thinking and technical strategy definition; executive communication, influence, and cross-functional partnership; coaching and growing data science teams; evangelizing AI concepts and best practices across business teams.","10+ years with modeling and analytics (including GenAI), plus 5+ years of leadership experience (MS and/or PhD related to AI, ML, and/or statistical modeling)","HP is leveraging cutting-edge AI to unlock transformative value, with new digital products and agentic intelligence streamlining critical business processes. The HP Enterprise AI & Machine Learning team is hiring a Director of AI - a strategic leader and AI practitioner to lead its AI data science teams. The Director will be responsible for all aspects of AI model development from scoping through deployment, working closely with product, data, and business partners to identify opportunities and define and deliver AI-based solutions.

Key responsibilities:
- Lead, coach, and grow teams of customer-focused data scientists.
- Build and staff a portfolio of high-impact AI projects that deliver clear value for the company.
- Envision, drive, and deliver innovative AI-based models and products that significantly improve revenue, profitability, and operating costs.
- Build effective partnerships with technical and product leaders and business stakeholders.
- Partner closely with Product Management, Technical Program Managers, Architects, HP product groups, and experts to deliver compelling, quality solutions at speed and scale.
- Evangelize and teach AI concepts and best practices to business teams across HP.

Experience and skills required: MS and/or PhD related to AI, machine learning, and/or statistical modeling; 10+ years with modeling and analytics, including GenAI; 5+ years of leadership experience; strong communication and influence skills; experience with digital product design and process transformation a plus.

Personal competencies: results focus and accountability; strategic thinking and the ability to define and implement technical strategies; learning agility (diving into details while keeping the big picture); and strong collaboration and executive communication skills.

Pay: \$174,050 - \$278,450 USD annually, plus bonus and/or equity (US candidates only). Full-time. Benefits: health, dental, vision, short/long-term disability, EAP, FSA, life insurance, 4-12 weeks fully paid parental leave, 11 paid holidays, and flexible paid vacation and sick leave.","HP, Inc. is a global technology company operating in over 170 countries across personal computing, printing, and enterprise AI. Its Enterprise AI & Machine Learning team drives business transformation by developing and deploying AI/ML tools and digital products, incorporating agentic intelligence to optimize critical business processes.",https://apply.hp.com/careers/job/29268957?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Assistant Professor - Data Scientist (ATLAS AI Program),Baylor College of Medicine (Michael E. DeBakey Department of Surgery),Academic Medicine / Healthcare AI Research (Surgery),"Not stated in posting (Baylor College of Medicine is located in Houston, TX)","AI applications in healthcare (machine vision, robotics, image analysis, natural language processing, predictive modeling); data engineering of electronic health data for machine learning; interoperability with electronic health record (EHR) systems; evaluation of algorithm predictive performance; leading NIH-funded research projects; research design and experiment planning; data analysis; scientific writing (manuscripts, grant proposals, progress reports); clinical study leadership and human-subjects research; collaboration with clinicians, surgeons, and pathologists; supervising and mentoring postdoctoral fellows, graduate, and undergraduate students.",Not specified in years (PhD plus postdoctoral experience required; academic record sufficient for an assistant professor faculty appointment),"The Michael E. DeBakey Department of Surgery at Baylor College of Medicine (BCM) seeks a highly qualified individual with a PhD and postdoctoral experience in Computer Science, Data Science, Medical Informatics, or an equivalent field. As Assistant Professor - Data Scientist, this person would serve as scientific lead with Dr. Ravi Ghanta, overseeing the Department of Surgery's ATLAS AI program to develop innovative AI applications in surgery and healthcare. The work spans AI in healthcare including machine vision, robotics, image analysis, natural language processing, and predictive modeling, working with a team of postdoctoral computer scientists and engineers on NIH-funded research projects.

The Assistant Professor is expected to oversee data engineering of electronic health data for machine learning applications, interoperability with EHR systems, and evaluation of algorithm predictive performance, interacting directly with postdoctoral fellows, graduate students, and medical students.

Job duties:
- Oversee and coordinate logistics and execution of various research projects; manage project progress, goals, and milestones.
- Plan and direct research experiments; organize, evaluate, and analyze data with other researchers.
- Develop research techniques and perform applications required for specific research projects.
- Conduct literature searches and summarize information for particular studies; document experiment results and report to principal investigators.
- Supervise, schedule, and coordinate the activities of the research team across multiple projects.
- Write progress reports, manuscripts, and grant proposals.
- Lead clinical studies and participate in human-subjects research; interact directly with clinicians, surgeons, and pathologists to fulfill research aims.
- Supervise research staff, including graduate and undergraduate students.

Minimum qualifications: Ph.D. in computer science, data science, medical informatics, or related field; successful track record of collaboration with clinical investigators and interdisciplinary teams; an accomplished academic record sufficient to fulfill criteria for an assistant professor-level faculty appointment at Baylor College of Medicine.","Baylor College of Medicine is a leading academic health science center in Houston, Texas. Its Michael E. DeBakey Department of Surgery runs the ATLAS AI program, developing innovative AI applications in surgery and healthcare through NIH-funded, interdisciplinary research.",https://jobs.bcm.edu/job/Assistant-Professor-Artificial-Intelligence-and-Data-Scientist/24671-en_US
